Name,Year,Average_Score
The Godfather,1972,9.299999999999999
Casablanca,1942,8.78
Rear Window,1954,8.793333333333335
City Lights,1931,8.793333333333335
Pulp Fiction,1994,8.976666666666667
The Lord of the Rings: The Return of the King,2003,8.976666666666667
Schindler's List,1993,9.01
Vertigo,1958,8.643333333333333
Psycho,1960,8.793333333333335
Singin' in the Rain,1952,8.66
Modern Times,1936,8.743333333333334
The Lord of the Rings: The Fellowship of the Ring,2001,8.86
The Godfather: Part II,1974,8.993333333333332
All About Eve,1950,8.593333333333332
Some Like It Hot,1959,8.54
Apocalypse Now,1979,8.656666666666668
Double Indemnity,1944,8.556666666666667
Saving Private Ryan,1998,8.673333333333334
Taxi Driver,1976,8.540000000000001
The Apartment,1960,8.540000000000001
It's a Wonderful Life,1946,8.67
The Dark Knight,2008,8.853333333333333
The Lord of the Rings: The Two Towers,2002,8.719999999999999
The Shawshank Redemption,1994,8.97
The Lion King,1994,8.603333333333333
Whiplash,2014,8.636666666666665
Back to the Future,1985,8.586666666666668
The Silence of the Lambs,1991,8.603333333333333
